Action Bias,Observation Noise,Action Noise,Num Ghosts,Time Step,Guessed Cell,Probability of Guess,Guessed heading,Location Correct,Heading Correct
0.0,0.0,0.0,2,25,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,26,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,27,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,28,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,29,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,30,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,31,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,32,"(3, 1)",1.0,Headings.N,True,False
0.0,0.0,0.0,2,33,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,34,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,35,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,36,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,37,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,38,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,39,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,40,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,41,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,42,"(3, 1)",1.0,Headings.N,True,False
0.0,0.0,0.0,2,43,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,44,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,45,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,46,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,47,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,48,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,49,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,50,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,51,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,52,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,53,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,54,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,55,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,56,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,57,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,58,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,59,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,60,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,61,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,62,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,63,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,64,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,65,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,66,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,67,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,68,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,69,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,70,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,71,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,72,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,73,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,74,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,75,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,76,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,77,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,78,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,79,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,80,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,81,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,82,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,83,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,84,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,85,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,86,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,87,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,88,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,89,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,90,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,91,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,92,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,93,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,94,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,95,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,96,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,97,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,98,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,99,"(3, 1)",0.0,Headings.N,False,False
Action Bias,Observation Noise,Action Noise,Num Ghosts,Time Step,Guessed Cell,Probability of Guess,Guessed heading,Location Correct,Heading Correct
